POLICY NAME,Y/N/M,POLICY DETAILS,Search Terms Synonyms,Prompt
,Meridian Credit Union,Meridian Credit Union POLICY details,,
,,,,
BFS (CMHC Program),,,"BFS program, Business for Self, self-employed CMHC, CMHC BFS, insured stated income, self-employed insured mortgage",
BFS ALT-A,,,"BFS Alt-A, alternative A self-employed, near-prime self-employed, Alt-A mortgage, non-traditional income program",
BFS Stated Income (Bank Statements),,,"BFS stated income, bank statement program, self-employed bank statements, 12-month bank statements, alternative income verification",
BFS Stated Income (Conventional),,,"BFS stated income conventional, uninsured stated income, self-employed conventional, 20% down stated income, no insurance self-employed",
BFS Stated Income (Sagen & CG Program),,,"BFS insured stated income, Sagen BFS program, Canada Guaranty BFS, self-employed Sagen program, insured self-employed program",
Cash Back Mortgages,,,"cash back, cashback, cash-back mortgage, cash rebate, rebate on closing, cash incentive at funding",
Collateral Switch/Transfer,,,"collateral switch, collateral transfer, standard charge transfer, mortgage switch, mortgage transfer, non-collateral vs collateral, treated as refinance",
Construction,,,"construction mortgage, construction loan, build mortgage, progress draw, builder financing, new construction loan",
Cottage/Recreational Properties,,,"cottage property, recreational property, vacation home, seasonal property, cottage or second home, lake house",
Equity Program,,,"equity program, equity lending, asset-based lending, equity based mortgage, no income equity program, equity take-out lending",
Flex Down Payments (ie; Credit Cards),,,"Flex Down, borrowed down payment, credit card down payment, loan for down payment, non-traditional down payment, borrowed funds as down payment",
Foreign Borrowers (Non-Residents),,,"foreign borrower, non-resident mortgage, international borrower, overseas borrower, foreign income mortgage, non-resident lending",
Limited Feature Mortgages,,,"limited feature mortgage, no-frills mortgage, basic mortgage product, low-frills loan, limited privilege mortgage, stripped-down mortgage",
Medical Professionals Program,,,"medical professionals program, doctor mortgage, physician mortgage, healthcare professional lending, special program for doctors, medical professional loan",
Mortgage & HELOC Combinations,,,"mortgage and HELOC combination, readvanceable mortgage, Flex Line, mortgage with line of credit, combined mortgage product, split mortgage and HELOC",
Net Worth Program,,,"net worth program, asset depletion program, high net worth mortgage, liquid asset program, asset-based income program, wealth-based lending",
New to Canada,,,"new to Canada program, newcomer mortgage, recent immigrant lending, new immigrant mortgage, newcomer program, permanent resident newcomer",
New to Canada (Rental),,,"new to Canada rental, newcomer rental property, immigrant investment property, newcomer rental mortgage, new immigrant rental purchase",
No-fee Alt Lender,,,"no-fee alt lender, no lender fee, lender with no fees, alt lender without fees, no admin fee mortgage, zero lender fee lending",
Non-Permanent/Temporary Residents,,,"temporary resident mortgage, work permit mortgage, non-permanent resident loan, work visa borrower, temporary resident program, work permit lending",
Open Mortgages,,,"open mortgage, fully open term, open term loan, no penalty mortgage, prepay anytime mortgage, open term lending",
Pre-Approval Programs,,,"pre-approval, rate hold program, preliminary approval, 120-day rate hold, prequalification process, pre-approved mortgage program",
Pre-Approval Programs With No Premium,,,"pre-approval with no premium, no rate premium for preapproval, no surcharge for rate hold, preapproval same rates, no extra cost rate hold",
Professionals,,,"professional program, designated professionals mortgage, program for professionals, special lending for professionals, lawyer/accountant mortgage program",
Purchase Plus Improvements,,,"purchase plus improvements, PPI program, renovation mortgage, mortgage with improvements, purchase renovation financing, improvement financing on purchase",
Purchase Plus Improvements Uninsurable,,,"uninsurable purchase plus improvements, conventional PPI, no default insurance PPI, reno mortgage without insurance, purchase plus improvements conventional",
Raw/Vacant Land Financing,,,"raw land financing, vacant land mortgage, land only loan, vacant lot financing, land purchase loan, lot loan",
Refinance,,,"refinance, mortgage refinancing, equity takeout, debt consolidation mortgage, refi loan, re-mortgage",
Refinance on Rentals,,,"rental property refinance, investment property refinance, refinancing a rental, non-owner occupied refinance, rental equity take-out",
Rental Properties,,,"rental properties, investment properties, non-owner occupied homes, income properties, rental real estate, investment housing",
Reverse Mortgages,,,"reverse mortgage, equity release, senior mortgage, 55+ reverse loan, no-payment mortgage, reverse home loan",
Second Homes,,,"second home, secondary residence, vacation property, non-primary residence, second house, weekend home",
Spousal/Partner Buyout,,,"spousal buyout, partner buyout, divorce buyout, marital buyout, separation equity buyout, spouse refinance buyout",
Standard Conventional Insurable Program,,,"standard conventional insurable, insurable mortgage program, low-ratio insured, insurable guidelines, conventional insured mortgage, insurable loan program",
Switch/Transfer,,,"switch, transfer, lender switch program, mortgage transfer, transfer existing mortgage, straight transfer, mortgage switch program",
"APPRAISAL, LEGAL AND TAXES",,, ,
Appraisal Details,,,"appraisal requirements, appraisal needed, valuation requirements, appraisal policy, property valuation guidelines, appraisal conditions",
Appraisal Rebates,,,"appraisal rebate, appraisal fee refund, appraisal cost reimbursement, lender pays appraisal, appraisal fee coverage",
Approved Appraisers List,,,"approved appraisers, appraisal panel, authorized appraisers, NAS, Solidifi, RPS, appraisal companies allowed",
Approved Lawyers,,,"approved lawyers, lawyer list, authorized solicitors, approved legal counsel, lawyer requirements",
APV or AVM,,,"Automated Valuation Model, AVM, automated appraisal, online valuation, AVM report, automated property valuation",
Dual Representation by Lawyer,,,"dual representation lawyer, same lawyer both parties, one lawyer both sides, single lawyer for buyer and seller, conflict of interest lawyer",
Legal Rebates,,,"legal fee rebate, legal cost reimbursement, legal fee coverage, lender pays legal fees, lawyer fee rebate",
Lender Collects and Pays Property Taxes,,,"lender paid property taxes, tax account, property tax collected with mortgage, taxes included in payment, lender remits property taxes",
Loan on Appraised Value,,,"lend on appraised value, loan based on appraisal, use appraised value for LTV, lending value vs purchase price, mortgage on appraised amount",
Loan on Purchase Price,,,"lend on purchase price, loan based on purchase price, use purchase price for LTV, mortgage on purchase price, value based on purchase price",
Max Capitalization & What Lender Pays For (Switch/Transfer),,,"capitalized costs, covered switch costs, lender paid transfer fees, fees added to mortgage, switch cost coverage, cost coverage limit",
Power of Attorney,,,"Power of Attorney, POA, attorney-in-fact, mortgage by POA, POA acceptance, signing via power of attorney",
Title Insurance Details,,,"title insurance required, mandatory title insurance, approved title insurers (FCT, Stewart), title policy needed, title insurance coverage",
Title Vesting Period,,,"title vesting period, seasoning requirement, time on title, ownership duration, title seasoning policy",
"Will Pay Out: Personal, CRA or HST Tax Arrears",,,"pay out tax arrears, pay CRA debt, pay HST arrears, income tax debt payout, government tax arrears, tax debt consolidation",
Will Pay Out: Property Tax Arrears,,,"pay out property tax arrears, cover back property taxes, property tax debt, delinquent property taxes, tax arrears payment",
COMMISSIONS,,,,
Finders Fees,,,"finder's fee, broker commission, referral fee, finder’s commission, broker compensation",
