0
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""While the policy isn't explicitly stated, certain procedures imply that client consent is required before proceeding with any application or underwriting."", ""POLICY NAME"": ""BFS (CMHC Program)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS ALT-A""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS Stated Income (Bank Statements)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""BFS Stated Income (Conventional)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""BFS Stated Income (Sagen & CG Program)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Cash Back Mortgages""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Collateral Switch/Transfer""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Construction""}"
"{""Y/N/M"": ""N"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""Cottage/Recreational Properties""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Equity Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Flex Down Payments (ie; Credit Cards)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Foreign Borrowers (Non-Residents)""}"
"{""Y/N/M"": ""N"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""Limited Feature Mortgages""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Medical Professionals Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Mortgage & HELOC Combinations""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Net Worth Program""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""New to Canada""}"
"{""Y/N/M"": ""N"", ""POLICY DETAILS"": ""No mention of consent for information release in the provided policies."", ""POLICY NAME"": ""New to Canada (Rental)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""No-fee Alt Lender""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Non-Permanent/Temporary Residents""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Open Mortgages""}"
