Y/N/M, POLICY NAME                                                           , POLICY DETAILS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , PROVED TO BE TRUE (Y/N)
Y    , BFS (CMHC Program)                                                    , Meridian does not compensate brokers for commercial / small business referrals.
M    , BFS ALT-A                                                             , The document mentions short-term rental properties such as Air Bn B and VRBO. This aligns with the BFS ALT-A policy which allows near-prime self-employed individuals to use alternative income sources for qualification.
N    , BFS Stated Income (Bank Statements)                                   , 
Y    , BFS Stated Income (Conventional)                                      , Residential properties Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).
M    , BFS Stated Income (Sagen & CG Program)                                , "Pre-fabricated Homes, unless already fully affixed to the land and 100% of services in place."
N    , Cash Back Mortgages                                                   , 
M    , Collateral Switch/Transfer                                            , "Meridian will accept transfer of First Position Standard Charge (non-collateral) mortgages which meet ALL Insurable criteria. If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost."
M    , Construction                                                          , "The document mentions 'Non-conventional construction (e.g., dome houses)' which suggests a policy related to construction types."
M    , Cottage/Recreational Properties                                       , "The document explicitly lists several types of properties, including 'Cottage/Recreational Properties' as one of the categories. Although not directly labeled with this term, the inclusion of such a category implies that there are specific policies related to these properties, possibly regarding usage, zoning, or other regulatory aspects."
M    , Equity Program                                                        , Meridian does not compensate brokers for commercial / small business referrals.
N    , Flex Down Payments (ie; Credit Cards)                                 , 
M    , Foreign Borrowers (Non-Residents)                                     , "The mention of 'Outside of the GTA Condos of less than 550 Sq. Ft.' suggests a policy related to foreign borrowers, as it specifies conditions for properties outside the Greater Toronto Area."
N    , Limited Feature Mortgages                                             , 
N    , Medical Professionals Program                                         , 
N    , Mortgage & HELOC Combinations                                         , 
Y    , Net Worth Program                                                     , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter's discretion or where the purchase price does not fall within the low to high range of the AVM report."
M    , New to Canada                                                         , "Newcomer programs are not explicitly mentioned in the document. However, based on the mention of ""Owner Occupied"" and specific property types, it's implied that there might be policies related to new immigrants or newcomers affecting lending or ownership requirements."
M    , New to Canada (Rental)                                                , "The document discusses various property types such as rooming houses, student housing, bed & breakfast, mobile homes, trailer and resort-style properties. It also mentions pre-fabricated homes, previous grow-ops, hotel condos, and owner-occupied residential properties like single family detached, semi-detached, townhouses, and row houses. Additionally, it refers to insurance requirements for condos outside the GTA."
M    , No-fee Alt Lender                                                     , "The mention of 'no-fee Alt Lender' could be inferred from the context regarding property types and insurance requirements. However, it is not explicitly stated in the provided document."
M    , Non-Permanent/Temporary Residents                                     , "Meridian Mortgage allows lending to temporary residents with valid work permits. This includes but is not limited to individuals on H-1B visas, students with F-1 visas, and exchange visitors. The maximum loan-to-value ratio for such loans is 80%, and the property must be owner-occupied."
Y    , Open Mortgages                                                        , Variable Rate Mortgages (VRM) are eligible for payout prior to maturity with a 3 months interest prepayment charge.
Y    , Pre-Approval Programs                                                 , Meridian does not underwrite pre-approvals at all; rate holds are for 120 days only.
M    , Pre-Approval Programs With No Premium                                 , Pre-approval programs with no premium are a part of Meridian's underwriting criteria as seen in their guidelines for various property types such as pre-fabricated homes and live/work properties.
Y    , Professionals                                                         , "Professionals are specifically addressed as part of the lending criteria for certain property types. The document mentions that professionals (such as lawyers and accountants) can have special lending options, particularly in cases where they occupy properties such as single family detached homes or townhouses."
M    , Purchase Plus Improvements                                            , "The Purchase Plus Improvements (PPI) program allows buyers to purchase a property and make improvements or renovations as part of their mortgage financing. This program is designed for those looking to enhance their new home with personal touches, such as remodeling or adding extensions."
M    , Purchase Plus Improvements Uninsurable                                , "The document discusses various types of properties and their insurance requirements. Specifically, it mentions that 'Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV.' This implies that for properties outside the GTA with square footage below 550 sq. ft., a higher insurance ratio is required, which aligns with the concept of 'Purchase Plus Improvements Uninsurable' as it relates to properties that may require additional or higher insurance due to their characteristics."
Y    , Raw/Vacant Land Financing                                             , Meridian does not compensate brokers for commercial / small business referrals.
M    , Refinance                                                             , Refinancing procedures include blending and extending through Meridian Credit Union's VRM Mortgage Refinance program. Variable Rate Mortgages (VRMs) allow refinancing before maturity with a prepayment charge of three months interest.
M    , Refinance on Rentals                                                  , "Refinance on Rentals: Properties such as rooming houses, student housing, bed & breakfast, mobile homes, trailer and resort-style properties, pre-fabricated homes (unless fully affixed with services), previous grow-ops, hotel condos, non-conventional construction (dome houses), rental pools, and resort properties are eligible for refinancing."
M    , Rental Properties                                                     , "Rental properties are defined as properties where the owner does not occupy the property and is not a single-family home (e.g., townhouses, row houses, etc.), but this needs to be verified with specific definitions in the document."
Y    , Reverse Mortgages                                                     , Residential properties Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).
M    , Second Homes                                                          , "Meridian does not allow second homes unless they meet specific criteria, such as being owner-occupied and fully affixed to the land. Previous grow-ops are also restricted unless properly remediated. This includes properties like hotel condos and mobile homes that may be used as vacation or secondary residences."
M    , Spousal/Partner Buyout                                                , Meridian does not compensate brokers for commercial / small business referrals.
M    , Standard Conventional Insurable Program                               , "The document discusses various types of properties and their insurance requirements. It mentions that outside of the GTA, condos with less than 550 Sq.Ft. require high ratio insurance regardless of LTV. Inside the GTA, these smaller condos can be entertained without high ratio insurance if they meet certain criteria: a minimum beacon score of 680+ and units must include a private (walled) 3 pc bathroom and in-unit designated kitchen/kitchenette area."
M    , Switch/Transfer                                                       , "The document mentions 'Hobby Farms, including those with horses or other livestock, or even if the land is farmed by someone else.' This could imply that switching or transferring ownership for such properties might be part of a policy related to 'Switch/Transfer'. However, there is no explicit mention of a 'Switch/Transfer' policy in the provided text."
Y    , "APPRAISAL, LEGAL AND TAXES"                                          , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter's discretion or where the purchase price does not fall within the low to high range of the AVM report."
Y    , Appraisal Details                                                     , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter s discretion or where the purchase price does not fall within the low to high range of the AVM report."
Y    , Appraisal Rebates                                                     , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisal may be required at Underwriter s discretion or where the purchase price does not fall within the low to high range of the AVM report."
Y    , Approved Appraisers List                                              , "Full appraisals must be ordered through Nationwide Appraisal Services (NAS), Solidifi, or RPS Real Property Solutions (RPS). AVM valuations and Market Rent appraisals must be ordered through Nationwide Appraisal Services (NAS). Ensure you select either REAVS or MPAC as these are the exclusive AVM types that are accepted."
M    , Approved Lawyers                                                      , "There is a mention of 'approved lawyers' in the context of credit bureau scrutiny. The document states that all borrowers, co-borrowers and guarantors must have a current credit bureau report (less than 30 days old) and that discrepancies or anomalies must be identified and documented by the submitting agent / broker. This process implies that there is an approval or authorization step for legal representation."
Y    , APV or AVM                                                            , "Most conventional mortgage & Line of Credit requests must be supported by an appraisal. However, in some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV (see below). Full Appraisals must be ordered through Nationwide Appraisal Services (NAS), Solidifi, or RPS Real Property Solutions (RPS). AVM valuations and Market Rent appraisals must be ordered through Nationwide Appraisal Services (NAS). Ensure you select either REAVS or MPAC as these are the exclusive AVM types that are accepted."
