Y/N/M, POLICY NAME                                       , POLICY DETAILS
N    , Investment Income / RRIF                          , 
N    , Long Term Disability                              , 
N    , Maximum Number of Applicants                      , 
N    , Non-Taxable/Tips                                  , 
M    , OAS - CPP - RPP (Pension Income)                  , Meridian requires the following documents up front for all applications: Separation Agreement (where applicable for existing and new to separate)
N    , On-Indian Reserve (Income)                        , 
N    , Ontario Disability Support Program Income         , 
N    , Parental/Maternity Leave                          , No relevant text found.
N    , Reduce Rental Expenses and Add to Gross Income    , 
M    , Rental (Income): Non-Subject Property             , Properties on well water and septic tanks will be considered provided this is normal for the area.
N    , Rental (Income): Owner-Occupied + Separate Unit   , 
N    , Rental (Income): Subject Property                 , 
M    , Rental (Income): Worksheet                        , All Buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws.
N    , Rental Income at Market Rents                     , No clear textual evidence supporting 'Rental Income at Market Rents' in Policies_Meridian.docx.
M    , Rental Pools                                      , All buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws.
M    , Rental Surplus/Shortfall Calculation              , "Appraisals: Due to the difficulty of setting market values for luxury homes, 2 full appraisals from independent appraisers must be completed when: In GTA: the total mortgage aggregate is $2 MM or higher OR $1.5 MM or greater in total mortgage borrowings with any of the following: Exception to Sliding Scale or Properties with 2-4 units. In non-GTA, reduce the values to $1.5 MM and $1.0 MM respectively."
N    , Short Term Disability                             , 
N    , Taxable Other                                     , 
N    , Trust (Income)                                    , 
N    , WSIB (Income)                                     , 
N    , EXPENSE PAYMENT CALCULATIONS                      , 
N    , Alimony (Expense)                                 , 
Y    , Calculate Debt Payments as Stated on Credit Bureau, "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate Student Lines of Credit Greater of 3% of the outstanding balance or the payment reported on the credit bureau Student Loans on repayment monthly contract payment as disclosed on the credit bureau Government Student Loans not on repayment future monthly contract payment as per the Government Loan Repayment Estimator Credit Bureau reports A current credit bureau (less than 30 days old) is required for all borrowers, co-borrowers and guarantors. All credit bureaus must be fully scrutinized and any discrepancies or anomalies identified, confirmed and documented by the submitting agent / broker. Credit bureau information must be consistent with the applications submitted."
M    , Calculate Debt Payments at BoC Rate Over 25 Years , "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate"
Y    , Calculate Debt Payments at the Total Limit        , "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate"
M    , Calculate Debt Payments on Unsecured Loans        , "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate Student Lines of Credit Greater of 3% of the outstanding balance or the payment reported on the credit bureau Student Loans on repayment monthly contract payment as disclosed on the credit bureau Government Student Loans not on repayment future monthly contract payment as per the Government Loan Repayment Estimator"
N    , Child Support (Expense) deducted from Income      , 
