Y/N/M, POLICY NAME                           , POLICY DETAILS
N    , BFS (CMHC Program)                    , 
N    , BFS ALT-A                             , 
N    , BFS Stated Income (Bank Statements)   , 
M    , BFS Stated Income (Conventional)      , "Meridian requires a full 90 day audit trail for the Borrowers sources of down payment. For those gifted by a donor, we require a statement confirming the availability of the funds. The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent). In addition to down payment confirmation, 1.5% closing costs are to be confirmed for all high ratio and conventional purchases."
M    , BFS Stated Income (Sagen & CG Program), [Text to be extracted]
N    , Cash Back Mortgages                   , 
N    , Collateral Switch/Transfer            , 
M    , Construction                          , "Pre- fabricated homes, unless already fully affixed to the land and 100% of services in place."
N    , Cottage/Recreational Properties       , 
N    , Equity Program                        , 
