POLICY NAME                           , Paragraphs
BFS (CMHC Program)                    , "- Mortgage application must meet the applicable criteria for the rate & product selected\. __Prepayment privileges__ Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments \(min $100\) on their payment date to a max of 20% per year\. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year\.
                                        __Down payments__ Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds\. The donor must be an immediate family member \(defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent\)\. In addition to down payment confirmation, 1\.5% closing costs are to be confirmed for all high ratio and conventional purchases\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        __Switches / Transfers / Assignments / Pre\-approvals__ - Meridian will accept transfer of First Position Standard Charge \(non\-collateral\) mortgages which meet ALL Insurable criteria\. For full guidelines click on link: [Mortgage Transfer Program](https://broker.meridiancu.ca/Broker/media/MCU-Mortgage-Broker/pdfs/Mortgage-Transfer-Program.pdf) - If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost\. - Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase\."
BFS ALT-A                             , "__Automated Valuation Model \(AVM\)__ Meridian is saving your clients money by offering a more flexible appraisal policy\. Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. However, in some cases an Automated Valuation Model \(AVM\) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV \(see below\)\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        __Switches / Transfers / Assignments / Pre\-approvals__ - Meridian will accept transfer of First Position Standard Charge \(non\-collateral\) mortgages which meet ALL Insurable criteria\. For full guidelines click on link: [Mortgage Transfer Program](https://broker.meridiancu.ca/Broker/media/MCU-Mortgage-Broker/pdfs/Mortgage-Transfer-Program.pdf) - If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost\. - Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase\.
                                        __AVM valuations and Market Rent appraisals must be ordered through Nationwide Appraisal Services \(NAS\)__\. Ensure you select either REAVS or MPAC as these are the __exclusive AVM types that are accepted\.__ Please note that if the purchase prices falls outside of the low to high range of an AVM, a desktop or full appraisal will be required\. For properties situated on acreage \(rural residential\), appraisal report to include a maximum of 10 acres plus dwelling and no out buildings\."
BFS Stated Income (Bank Statements)   , "__Down payments__ Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds\. The donor must be an immediate family member \(defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent\)\. In addition to down payment confirmation, 1\.5% closing costs are to be confirmed for all high ratio and conventional purchases\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        - For__ Secured Lines of Credit__, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate - __Student Lines of Credit__ – Greater of 3% of the outstanding balance or the payment reported on the credit bureau - __Student Loans on repayment__ – monthly contract payment as disclosed on the credit bureau - __Government Student Loans not on repayment__ – future monthly contract payment as per the [Government Loan Repayment Estimator](https://tools.canlearn.ca/cslgs-scpse/cln-cln/crp-lrc/af.nlindex-eng.do) __Credit Bureau reports__ - A current credit bureau \(less than 30 days old\) is required for all borrowers, co\-borrowers and guarantors\. - All credit bureaus must be fully scrutinized and any discrepancies or anomalies identified, confirmed and documented by the submitting agent / broker\. - Credit bureau information must be consistent with the applications submitted\.
                                        __Automated Valuation Model \(AVM\)__ Meridian is saving your clients money by offering a more flexible appraisal policy\. Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. However, in some cases an Automated Valuation Model \(AVM\) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV \(see below\)\."
BFS Stated Income (Conventional)      , "__Down payments__ Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds\. The donor must be an immediate family member \(defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent\)\. In addition to down payment confirmation, 1\.5% closing costs are to be confirmed for all high ratio and conventional purchases\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        __Qualifying rate policy__ __High Ratio Fixed rate mortgages__ - For all terms, applicants must qualify using the greater of 5\.25% Benchmark or Contract Rate \+ 2% __Conventional Mortgages: Purchases or Refinances__ Uninsurable purchases and refinances offer a 30 year amortization, with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years\. - Insurable Mortgages must qualify at the greater of 5\.25% Benchmark or Contract Rate plus 2%, over 25 years __Flex Line__ - All Flex Line arrangements must be qualified at the greater of the 5\.25% Benchmark rate or the mortgage contract rate plus 2%\. Example: Mortgage amount = $200 K; HELOC initial limit = $100 K \-\-\- Qualifying rate for each application is the __mortgage rate plus 2% OR the 5\.25% Benchmark rate \(whichever is greater\)__ __G\.D\.S and T\.D\.S ratios__ Ratios are not to exceed __39%__ and __44%__ respectively \(regardless of high ratio insurer guidelines\) __Monthly payment for credit cards & lines of credit__ __High Ratio & Conventional__ - For__ unsecured Lines of Credit and Credit Cards__, the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau\.
                                        - Live/Work properties \(regardless of % split between live & work\)\. - Non\-conventional construction \(eg dome houses\)\. - Rental pools and resort properties\."
BFS Stated Income (Sagen & CG Program), "__Down payments__ Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds\. The donor must be an immediate family member \(defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent\)\. In addition to down payment confirmation, 1\.5% closing costs are to be confirmed for all high ratio and conventional purchases\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        - For__ Secured Lines of Credit__, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate - __Student Lines of Credit__ – Greater of 3% of the outstanding balance or the payment reported on the credit bureau - __Student Loans on repayment__ – monthly contract payment as disclosed on the credit bureau - __Government Student Loans not on repayment__ – future monthly contract payment as per the [Government Loan Repayment Estimator](https://tools.canlearn.ca/cslgs-scpse/cln-cln/crp-lrc/af.nlindex-eng.do) __Credit Bureau reports__ - A current credit bureau \(less than 30 days old\) is required for all borrowers, co\-borrowers and guarantors\. - All credit bureaus must be fully scrutinized and any discrepancies or anomalies identified, confirmed and documented by the submitting agent / broker\. - Credit bureau information must be consistent with the applications submitted\.
                                        __Qualifying rate policy__ __High Ratio Fixed rate mortgages__ - For all terms, applicants must qualify using the greater of 5\.25% Benchmark or Contract Rate \+ 2% __Conventional Mortgages: Purchases or Refinances__ Uninsurable purchases and refinances offer a 30 year amortization, with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years\. - Insurable Mortgages must qualify at the greater of 5\.25% Benchmark or Contract Rate plus 2%, over 25 years __Flex Line__ - All Flex Line arrangements must be qualified at the greater of the 5\.25% Benchmark rate or the mortgage contract rate plus 2%\. Example: Mortgage amount = $200 K; HELOC initial limit = $100 K \-\-\- Qualifying rate for each application is the __mortgage rate plus 2% OR the 5\.25% Benchmark rate \(whichever is greater\)__ __G\.D\.S and T\.D\.S ratios__ Ratios are not to exceed __39%__ and __44%__ respectively \(regardless of high ratio insurer guidelines\) __Monthly payment for credit cards & lines of credit__ __High Ratio & Conventional__ - For__ unsecured Lines of Credit and Credit Cards__, the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau\."
Cash Back Mortgages                   , "__Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        - Mortgage application must meet the applicable criteria for the rate & product selected\. __Prepayment privileges__ Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments \(min $100\) on their payment date to a max of 20% per year\. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year\.
                                        __Qualifying rate policy__ __High Ratio Fixed rate mortgages__ - For all terms, applicants must qualify using the greater of 5\.25% Benchmark or Contract Rate \+ 2% __Conventional Mortgages: Purchases or Refinances__ Uninsurable purchases and refinances offer a 30 year amortization, with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years\. - Insurable Mortgages must qualify at the greater of 5\.25% Benchmark or Contract Rate plus 2%, over 25 years __Flex Line__ - All Flex Line arrangements must be qualified at the greater of the 5\.25% Benchmark rate or the mortgage contract rate plus 2%\. Example: Mortgage amount = $200 K; HELOC initial limit = $100 K \-\-\- Qualifying rate for each application is the __mortgage rate plus 2% OR the 5\.25% Benchmark rate \(whichever is greater\)__ __G\.D\.S and T\.D\.S ratios__ Ratios are not to exceed __39%__ and __44%__ respectively \(regardless of high ratio insurer guidelines\) __Monthly payment for credit cards & lines of credit__ __High Ratio & Conventional__ - For__ unsecured Lines of Credit and Credit Cards__, the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau\.
                                        Each 5bps buy down will cost 20bps reduction in commissions\. - Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service \(GDS\) and Total Debt Service \(TDS\) ratio requirement at current rates for the term\. - Rate buy down request must accompany the application to the underwriting unit\."
Collateral Switch/Transfer            , "__Switches / Transfers / Assignments / Pre\-approvals__ - Meridian will accept transfer of First Position Standard Charge \(non\-collateral\) mortgages which meet ALL Insurable criteria\. For full guidelines click on link: [Mortgage Transfer Program](https://broker.meridiancu.ca/Broker/media/MCU-Mortgage-Broker/pdfs/Mortgage-Transfer-Program.pdf) - If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost\. - Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        __Down payments__ Meridian requires a full 90 day audit trail for the Borrowers sources of down payment, For those gifted by a donor, we require a statement confirming the availability of the funds\. The donor must be an immediate family member \(defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent\)\. In addition to down payment confirmation, 1\.5% closing costs are to be confirmed for all high ratio and conventional purchases\.
                                        - The requested mortgage amount for your live deal must remain the same\. A 10% maximum variance \(higher or lower\) is permitted\. - __The selected product and term length for your live deal must remain the same__\."
Construction                          , "- Live/Work properties \(regardless of % split between live & work\)\. - Non\-conventional construction \(eg dome houses\)\. - Rental pools and resort properties\.
                                        - Pre\-fabricated Homes, unless already fully affixed to the land and 100% of services in place\. - Previous Grow\-Ops, whether remediated or not\. - Hotel Condos\.
                                        - Rooming Houses, Student Housing/Rentals\. - Bed & Breakfast\. - Mobile Homes, Trailer and Resort\-style properties \(eg mobile home/adult lifestyle communities\)\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\."
Cottage/Recreational Properties       , "- Rooming Houses, Student Housing/Rentals\. - Bed & Breakfast\. - Mobile Homes, Trailer and Resort\-style properties \(eg mobile home/adult lifestyle communities\)\.
                                        - Hobby Farms, including those with horses or other livestock, or even if the land is farmed by someone else\. - Converted Churches/Schoolhouses, - Historically designated properties\. - Short\-term \(vacation\) rental properties; Air Bn B, VRBO etc __Minimum Square Footage__ Live/work condos ineligible\.
                                        - Live/Work properties \(regardless of % split between live & work\)\. - Non\-conventional construction \(eg dome houses\)\. - Rental pools and resort properties\.
                                        - Residential properties Owner Occupied\. - Single family detached and semi\-detached\. - Single family townhouses and row houses \(freehold\)\."
Equity Program                        , "__Switches / Transfers / Assignments / Pre\-approvals__ - Meridian will accept transfer of First Position Standard Charge \(non\-collateral\) mortgages which meet ALL Insurable criteria\. For full guidelines click on link: [Mortgage Transfer Program](https://broker.meridiancu.ca/Broker/media/MCU-Mortgage-Broker/pdfs/Mortgage-Transfer-Program.pdf) - If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost\. - Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase\.
                                        __Appraisals__ Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. Brokers are responsible for the cost of the appraisal report\. Full appraisals must be ordered through Nationwide Appraisal Services \(NAS\), Solidifi, or RPS Real Property Solutions \(RPS\)\.
                                        __Automated Valuation Model \(AVM\)__ Meridian is saving your clients money by offering a more flexible appraisal policy\. Most conventional mortgage & Line of Credit requests must be supported by an appraisal\. However, in some cases an Automated Valuation Model \(AVM\) Report may be considered in lieu of a full appraisal dependent on purchase price, beacon score and LTV \(see below\)\.
                                        - Mortgage application must meet the applicable criteria for the rate & product selected\. __Prepayment privileges__ Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments \(min $100\) on their payment date to a max of 20% per year\. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year\."
