Y/N/M,POLICY NAME,POLICY DETAILS
M,BFS (CMHC Program),"Meridian will accept transfer of First Position Standard Charge (non-collateral) mortgages which meet ALL Insurable criteria. For full guidelines click on link: [Mortgage Transfer Program](https://broker.meridiancu.ca/Broker/media/MCU-Mortgage-Broker/pdfs/Mortgage-Transfer-Program.pdf) If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer, at their cost. Mortgage application must meet the applicable criteria for the rate & product selected."
N,BFS ALT-A,
N,BFS Stated Income (Bank Statements),
N,BFS Stated Income (Conventional),
N,BFS Stated Income (Sagen & CG Program),
N,Cash Back Mortgages,No clear or inferable mention of Cash Back Mortgages found in the provided document.
M,Collateral Switch/Transfer,Meridian will accept transfer of First Position Standard Charge non-collateral mortgages which meet ALL Insurable criteria.
N,Construction,
N,Cottage/Recreational Properties,
N,Equity Program,
