"POLICY NAME"                                                           , "Y/N/M", "POLICY DETAILS"
"BFS (CMHC Program)"                                                    , "N"    , "(Not mentioned in the provided document.)"
"BFS ALT-A"                                                             , "N"    , "(Not mentioned in the provided document.)"
"BFS Stated Income (Bank Statements)"                                   , "N"    , "(Not mentioned in the provided document.)"
"BFS Stated Income (Conventional)"                                      , "N"    , "(Not mentioned in the provided document.)"
"BFS Stated Income (Sagen & CG Program)"                                , "N"    , "(Not mentioned in the provided document.)"
"Cash Back Mortgages"                                                   , "N"    , "(Not mentioned in the provided document.)"
"Collateral Switch/Transfer"                                            , "M"    , "Meridian treats collateral charge mortgage transfers as refinances – such cases require a full appraisal and the borrower must cover legal costs. (Only first-position standard charge transfers that meet insurable criteria are treated as true switches.)"
"Construction"                                                          , "N"    , "(Not mentioned in the provided document.)"
"Cottage/Recreational Properties"                                       , "N"    , "(Not mentioned in the provided document.)"
"Equity Program"                                                        , "N"    , "(Not mentioned in the provided document.)"
"Flex Down Payments (ie; Credit Cards)"                                 , "N"    , "(No explicit mention; down payment must be from borrower’s own resources or immediate family gift, implying borrowed down payments are not accepted.)"
"Foreign Borrowers (Non-Residents)"                                     , "N"    , "(Not mentioned in the provided document.)"
"Limited Feature Mortgages"                                             , "N"    , "(Not mentioned in the provided document.)"
"Medical Professionals Program"                                         , "N"    , "(Not mentioned in the provided document.)"
"Mortgage & HELOC Combinations"                                         , "Y"    , "Meridian’s Flex Line product (combined mortgage + HELOC) must be qualified at the greater of the 5.25% benchmark rate or the contract rate + 2%. (In practice, this means both the mortgage and HELOC portions are stress-tested at the higher rate.)"
"Net Worth Program"                                                     , "N"    , "(Not mentioned in the provided document.)"
"New to Canada"                                                         , "M"    , "No specific “New to Canada” program is outlined. Applicants with no Canadian credit (e.g. no Beacon score) are handled case-by-case – brokers must contact Meridian for guidance."
"New to Canada (Rental)"                                                , "N"    , "(Not mentioned in the provided document.)"
"No-fee Alt Lender"                                                     , "N"    , "(Not mentioned in the provided document. Meridian’s documentation does not indicate any lender fees on standard mortgages.)"
"Non-Permanent/Temporary Residents"                                     , "N"    , "(Not mentioned in the provided document.)"
"Open Mortgages"                                                        , "N"    , "(Not mentioned in the provided document.)"
"Pre-Approval Programs"                                                 , "Y"    , "Meridian does not underwrite pre-approval applications; instead, they offer 120-day rate holds only (no fully underwritten preapproval commitments)."
"Pre-Approval Programs With No Premium"                                 , "Y"    , "Meridian’s 120-day rate holds come with no rate premium – the held rate is the same as the regular rate (no premium added)."
"Professionals"                                                         , "N"    , "(Not mentioned in the provided document.)"
"Purchase Plus Improvements"                                            , "Y"    , "Meridian allows Purchase-Plus-Improvement mortgages; however, rate holds are not available for such deals (the 120-day commitment period only begins once the live deal is submitted)."
"Purchase Plus Improvements Uninsurable"                                , "N"    , "(Not mentioned in the provided document.)"
"Raw/Vacant Land Financing"                                             , "Y"    , "Not allowed. Raw or vacant land is not eligible for mortgage financing through Meridian’s broker channel."
"Refinance"                                                             , "Y"    , "Meridian offers refinancing on conventional mortgages up to 80% LTV. Uninsurable refinances (e.g. rentals or larger loans) can have a 30-year amortization (whereas insurable loans are capped at 25 years)."
"Refinance on Rentals"                                                  , "M"    , "Implied allowed. While not explicitly separated in guidelines, rental properties can be refinanced under Meridian’s conventional lending criteria (up to ~80% LTV, since such deals are uninsurable)."
"Rental Properties"                                                     , "Y"    , "Meridian will finance rental properties up to 4 units, provided they meet all zoning and fire code requirements. Certain rental scenarios are excluded – e.g. rooming houses, student rentals, short-term/Airbnb rentals, or rental pool arrangements are not allowed."
"Reverse Mortgages"                                                     , "N"    , "(Not mentioned in the provided document.)"
"Second Homes"                                                          , "N"    , "(Not mentioned in the provided document.)"
"Spousal/Partner Buyout"                                                , "N"    , "(Not mentioned in the provided document.)"
"Standard Conventional Insurable Program"                               , "Y"    , "Insurable conventional mortgages (those meeting insurer criteria) must be qualified at the greater of 5.25% or contract rate + 2%, using a 25-year amortization. (This reflects standard “stress test” rules for insurable deals.)"
"Switch/Transfer"                                                       , "Y"    , "Meridian accepts switches/transfers of first-position standard-charge mortgages that meet all insurable criteria. If a transferring mortgage fails to meet those criteria, Meridian treats it as a refinance (requiring a full appraisal and client-paid lawyer costs)."
