POLICY NAME                                                                                                                                  , Y/N/M                                         , POLICY DETAILS
                                                                                                                                             , Meridian Credit Union                         , Meridian Credit Union POLICY details
                                                                                                                                             ,                                               , 
BFS (CMHC Program)                                                                                                                           , N                                             , 
BFS ALT-A                                                                                                                                    , N                                             , 
BFS Stated Income (Bank Statements)                                                                                                          , N                                             , 
BFS Stated Income (Conventional)                                                                                                             , N                                             , 
BFS Stated Income (Sagen & CG Program)                                                                                                       , N                                             , 
Cash Back Mortgages                                                                                                                          , N                                             , 
Collateral Switch/Transfer                                                                                                                   , M                                             , Meridian will accept transfer of First Position Standard Charge (non-collateral) mortgages which meet ALL Insurable criteria. If the mortgage does not meet all criteria they are treated as refinances with full appraisals and with the clients supplying the lawyer                                                                                                                                                                                                                                                             , at their cost.
Construction                                                                                                                                 , N                                             , 
Cottage/Recreational Properties                                                                                                              , N                                             , 
Equity Program                                                                                                                               , N                                             , 
Flex Down Payments (ie; Credit Cards)                                                                                                        , N                                             , 
Foreign Borrowers (Non-Residents)                                                                                                            , N                                             , 
Limited Feature Mortgages                                                                                                                    , N                                             , 
Medical Professionals Program                                                                                                                , N                                             , 
Mortgage & HELOC Combinations                                                                                                                , Y                                             , All Flex Line arrangements must be qualified at the greater of the 5.25% Benchmark rate or the mortgage contract rate plus 2%. Example: Mortgage amount = $200K; HELOC initial limit = $100K --- Qualifying rate for each application is the mortgage rate plus 2% OR the 5.25% Benchmark rate (whichever is greater)
Net Worth Program                                                                                                                            , N                                             , 
New to Canada                                                                                                                                , N                                             , 
New to Canada (Rental)                                                                                                                       , N                                             , 
No-fee Alt Lender                                                                                                                            , N                                             , 
Non-Permanent/Temporary Residents                                                                                                            , N                                             , 
Open Mortgages                                                                                                                               , N                                             , 
Pre-Approval Programs                                                                                                                        , Y                                             , Meridian does not underwrite pre-approvals at all; rate holds are for 120 days only.
Pre-Approval Programs With No Premium                                                                                                        , M                                             , No premiums are added to rates.
Professionals                                                                                                                                , N                                             , 
Purchase Plus Improvements                                                                                                                   , Y                                             , Rate holds are not available for Purchase Plus Improvements deals. For these applications                                                                                                                                                                                                                                                                                                                                                                                                                                          , the 120 day rate commitment period begins on date of live deal submission.
Purchase Plus Improvements Uninsurable                                                                                                       , N                                             , 
Raw/Vacant Land Financing                                                                                                                    , Y                                             , Raw / Vacant Land.
Refinance                                                                                                                                    , Y                                             , Uninsurable purchases and refinances offer a 30 year amortization                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years.
Refinance on Rentals                                                                                                                         , N                                             , 
Rental Properties                                                                                                                            , M                                             , Residential properties Owner Occupied.
Single Family with conforming rental component                                                                                               , Duplex                                        , triplex and 4-plex buildings. All buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws.
Reverse Mortgages                                                                                                                            , N                                             , 
Second Homes                                                                                                                                 , N                                             , 
Spousal/Partner Buyout                                                                                                                       , N                                             , 
Standard Conventional Insurable Program                                                                                                      , Y                                             , Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%                                                                                                                                                                                                                                                                                                                                                                                                                                        , over 25 years
Switch/Transfer                                                                                                                              , Y                                             , Meridian will accept transfer of First Position Standard Charge (non-collateral) mortgages which meet ALL Insurable criteria.
APPRAISAL                                                                                                                                    , LEGAL AND TAXES                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 
Appraisal Details                                                                                                                            , Y                                             , Most conventional mortgage & Line of Credit requests must be supported by an appraisal. Brokers are responsible for the cost of the appraisal report.
Appraisal Rebates                                                                                                                            , N                                             , 
Approved Appraisers List                                                                                                                     , Y                                             , Full appraisals must be ordered through Nationwide Appraisal Services (NAS)                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Solidifi                                                                                                                                                                  , or RPS Real Property Solutions (RPS).
Approved Lawyers                                                                                                                             , N                                             , 
APV or AVM                                                                                                                                   , Y                                             , In some cases an Automated Valuation Model (AVM) Report may be considered in lieu of a full appraisal dependent on purchase price                                                                                                                                                                                                                                                                                                                                                                                                  , beacon score and LTV. Full Appraisal may be required at Underwriter’s discretion or where the purchase price does not fall within the low to high range of the AVM report.
Dual Representation by Lawyer                                                                                                                , N                                             , 
Legal Rebates                                                                                                                                , N                                             , 
Lender Collects and Pays Property Taxes                                                                                                      , N                                             , 
Loan on Appraised Value                                                                                                                      , Y                                             , The Loan-to-Value ratio is the sum of the mortgage loan together with all prior ranking mortgages                                                                                                                                                                                                                                                                                                                                                                                                                                  , divided by the lesser of the appraised value or purchase price of the property.
Loan on Purchase Price                                                                                                                       , Y                                             , The Loan-to-Value ratio is the sum of the mortgage loan together with all prior ranking mortgages                                                                                                                                                                                                                                                                                                                                                                                                                                  , divided by the lesser of the appraised value or purchase price of the property.
Max Capitalization & What Lender Pays For (Switch/Transfer)                                                                                  , N                                             , 
Power of Attorney                                                                                                                            , Y                                             , POA signatures are not acceptable.
Title Insurance Details                                                                                                                      , N                                             , 
Title Vesting Period                                                                                                                         , N                                             , 
Will Pay Out: Personal                                                                                                                       , CRA or HST Tax Arrears                        , N                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 
Will Pay Out: Property Tax Arrears                                                                                                           , N                                             , 
COMMISSIONS                                                                                                                                  ,                                               , 
Finders Fees                                                                                                                                 , N                                             , 
Renewal Pay                                                                                                                                  , N                                             , 
Trailer Fees                                                                                                                                 , N                                             , 
Volume Bonus                                                                                                                                 , N                                             , 
CREDIT REQUIREMENTS                                                                                                                          ,                                               , 
Age of Credit Bureau (Days)                                                                                                                  , Y                                             , A current credit bureau (less than 30 days old) is required for all borrowers                                                                                                                                                                                                                                                                                                                                                                                                                                                      , co-borrowers and guarantors.
Bankruptcy Purchase                                                                                                                          , Y                                             , Bankruptcy/Consumer Proposal must be discharged for 2 years*; Applicant’s credit bureau reports must be satisfactory – no derogatory ratings on trade lines established after discharge; No Meridian debt was included in the bankruptcy; All applicants must have a two-year re-established credit history with a minimum of two major trade lines; Maximum 90% Loan to Value; Reasonable explanation for the bankruptcy must be provided; No previous Real Estate to be included in Bankruptcy/Consumer Proposal
Bankruptcy Refinace                                                                                                                          , N                                             , 
Beacon <680 Max GDS/TDS                                                                                                                      , M                                             , Ratios are not to exceed 39% and 44% respectively (regardless of high ratio insurer guidelines)
