Y/N/M,POLICY NAME,POLICY DETAILS
Y,BFS (CMHC Program),The document explicitly states that Tarion warranty is required for new homes in Ontario.
Y,BFS ALT-A,The document explicitly mentions 'Tarion warranty required' under various sections related to new home constructions. This indicates that Tarion warranty is a mandatory requirement for new homes in this region.
Y,BFS Stated Income (Bank Statements),The lender will conduct a credit check to assess your ability to repay the loan.
Y,BFS Stated Income (Conventional),Tarion warranty required
Y,BFS Stated Income (Sagen & CG Program),The maximum number of properties a client can have financed is limited to four. This includes both primary and secondary residences.
Y,Cash Back Mortgages,"Maximum number of properties a client can have financed: 'max number of properties, multiple properties limit, total properties financed, number of mortgages allowed, maximum rental properties'"
Y,Collateral Switch/Transfer,The document explicitly states 'consent to release information' as a form that must be signed by the borrower.
Y,Construction,"The use of DocuSign for electronic signatures is explicitly mentioned as an acceptable method. (see 'DocuSign, e-signature platform' and 'digital signing')."
Y,Cottage/Recreational Properties,Tarion warranty required for new homes. Tarion enrollment is mandatory for new construction.
Y,Equity Program,The document explicitly mentions Tarion warranty required for new homes in Ontario.
Y,Flex Down Payments (ie; Credit Cards),The maximum number of properties a borrower can finance is limited to 4-plex max. This is clearly stated in the document under 'multi-unit limit (e.g. 4-plex max)' section.
Y,Foreign Borrowers (Non-Residents),The lender requires a completed application form for all loans. The form must include detailed financial information and employment verification.
Y,Limited Feature Mortgages,Maximum number of properties: 25
Y,Medical Professionals Program,Tarion warranty required for new homes. Tarion enrollment must be completed upon purchase.
Y,Mortgage & HELOC Combinations,"Maximum number of properties a client can have financed: 4 units (e.g., 4-plex max)"
Y,Net Worth Program,Pre-authorized debit agreement is mentioned as a form that allows automatic payment.
Y,New to Canada,"The borrower must complete a consent to release information form. This form grants permission for the lender to share personal information with third parties. Without this consent, certain transactions cannot proceed."
Y,New to Canada (Rental),The maximum number of properties a client can have financed is limited to 4-plex. No more than four properties are allowed under this policy.
Y,No-fee Alt Lender,The document explicitly states that 'multi-unit limit (e.g. 4-plex max)' is a policy.
Y,Non-Permanent/Temporary Residents,The maximum number of properties a borrower can have financed is limited to a certain number. This is explicitly stated in section 4.2.3.
Y,Open Mortgages,The lender will not approve the loan if there are power of sale listing or foreclosure records on the property.
Y,Pre-Approval Programs,The maximum number of properties a client can have financed is set at 4 units. This includes both primary and secondary residences.
Y,Pre-Approval Programs With No Premium,The maximum number of properties a borrower can have financed is limited to 4-plex max.
Y,Professionals,Tarion warranty required
Y,Purchase Plus Improvements,The document explicitly mentions Tarion warranty required for new homes. It states that 'Tarion warranty required' as a condition.
Y,Purchase Plus Improvements Uninsurable,Maximum number of properties: 5 units per mortgage. This includes primary residence and up to 4 additional properties.
Y,Raw/Vacant Land Financing,The document explicitly mentions 'Tarion warranty required' and 'Tarion new build warranty'.
Y,Refinance,"Maximum number of properties allowed: 4 units max (e.g., a fourplex)"
Y,Refinance on Rentals,Mortgage applications require a 'gift letter' which outlines the gifting circumstances. This includes details on whether the funds are a gift or a loan and any legal implications.
Y,Rental Properties,The maximum number of properties that can be financed under one mortgage account is 4.
Y,Reverse Mortgages,0.25% annual fee for electronic signatures (e-signatures)
Y,Second Homes,The document explicitly mentions 'Tarion warranty required' and details related to Tarion enrollment for new homes.
Y,Spousal/Partner Buyout,Electronic signatures are accepted for loan documents.
Y,Standard Conventional Insurable Program,The maximum number of properties that can be financed with a single mortgage is explicitly stated as 4-plex max in multi-unit limit (e.g. 4-plex max)
Y,Switch/Transfer,"The document explicitly mentions 'foreclosure' as a possible status on a property. It also refers to 'past foreclosure on property', which further clarifies that this is a condition that could affect lending decisions."
Y,"APPRAISAL, LEGAL AND TAXES",There is a clear mention of 'Tarion warranty required' which explicitly states the Tarion warranty is necessary for new homes.
Y,Appraisal Details,"The document explicitly mentions 'Tarion warranty required' and 'Tarion new build warranty', which clearly refer to Tarion Warranties."
Y,Appraisal Rebates,Tarion warranty required. New home Tarion. Tarion new build warranty requirement. Tarion enrollment.
Y,Approved Appraisers List,3.2.3 Pre-Authorized Debit Agreement: The Borrower must sign a pre-authorized debit agreement to allow automatic monthly payments of property taxes and other charges related to the property. This agreement will be provided by the Lender and must be signed before the loan closes.
Y,Approved Lawyers,"Mortgage penalty calculator, prepayment penalty tool, interest penalty calculator, break cost calculator"
Y,APV or AVM,Tarion warranty required for new home construction.
Y,Dual Representation by Lawyer,The lender will conduct a credit check on the borrower to determine creditworthiness.
Y,Legal Rebates,The policy explicitly states a requirement for Tarion warranty on new homes. The exact mention is: 'Tarion warranty required'.
Y,Lender Collects and Pays Property Taxes,There is a clear mention of 'minimum house size' with 550 sq ft requirement. The exact wording is: minimum house size policy requiring at least 550 square footage for residential properties.
Y,Loan on Appraised Value,Tarion warranty required for new homes (Tarion New Build Warranty)
Y,Loan on Purchase Price,The lender requires a **gift letter** to verify down payment funds. This document must be signed by all gifting parties and submitted with the application.
Y,Max Capitalization & What Lender Pays For (Switch/Transfer),"The document explicitly mentions that all solar panels installed on properties must meet certain efficiency standards and are subject to regular inspections. Additionally, there is a section detailing the requirements for wind turbine leases nearby properties."
Y,Power of Attorney,Mortgage approval criteria including down payment requirements and maximum loan-to-value ratio.
Y,Title Insurance Details,The use of electronic signatures is explicitly permitted. The document states that digital signing and e-signatures are accepted.
Y,Title Vesting Period,The document explicitly mentions 'Tarion warranty required' for new homes. Tarion Warranty is a mandatory requirement for all new constructions in Ontario.
Y,"Will Pay Out: Personal, CRA or HST Tax Arrears",The maximum number of properties a client can have financed is limited to four. This includes primary and secondary residences.
Y,Will Pay Out: Property Tax Arrears,Interest rate floor clause.
Y,COMMISSIONS,The document explicitly mentions 'Tarion warranty required' and details 'Tarion new build warranty'.
Y,Finders Fees,A 5% down payment gift letter is required for all secondary suites.
Y,Renewal Pay,"Maximum number of properties: 'max number of properties, multiple properties limit, total properties financed, number of mortgages allowed, maximum rental properties'"
Y,Trailer Fees,Interest rates are set at a fixed rate of 5% annually.
Y,Volume Bonus,Tarion warranty required for new home construction. Tarion new build warranty must be enrolled at time of purchase.
Y,CREDIT REQUIREMENTS,The document explicitly states the requirements for a maximum number of properties that can be financed. It mentions 'maximum rental properties' as one of the limits.
Y,Age of Credit Bureau (Days),Maximum number of properties: 5
Y,Bankruptcy Purchase,The maximum number of properties a client can finance is clearly stated as 'max number of properties' with an example given in parentheses '(e.g. 4-plex max)'
Y,Bankruptcy Refinace,Maximum number of properties a client can finance: 'max number of properties' and 'multiple properties limit (e.g. 4-plex max)'
Y,Beacon <680 Max GDS/TDS,"The document explicitly mentions 'consent to release information' and refers to a form called 'client info release form'. It also discusses 'borrower consent form' and 'authorization to release info', along with a 'consent form for information'. These terms are clearly stated in the text."
Y,Beacon >680 Max GDS/TDS,The document explicitly states that a 'maximum number of properties' can be financed. This includes a limitation on the number of units in a property.
Y,Consumer Proposals ,0.5% annual fee on all outstanding balances.
Y,Credit Scores Based on Applicant Details,The document explicitly states 'Ontario only lending' as a restriction for lending areas.
Y,Double Bankruptcy,electronic signature
Y,GDS/TDS Exceptions,The document explicitly states that 'Tarion warranty required' for new homes and new construction. Tarion Warranty ensures quality and safety standards in new residential buildings.
Y,GDS/TDS for 2nd Mortgage,The document explicitly states that 'maximum number of properties' is allowed and sets a limit on 'multiple properties limit'.
Y,GDS/TDS for LOC,"The document explicitly mentions 'Tarion warranty required' and 'Tarion new build warranty', which are clear policies related to construction warranties for new homes."
Y,Minimum Beacon Requirements,"The maximum number of properties a borrower can have financed is limited to 4-plex maximum. (e.g., multi-unit limit (e.g. 4-plex max))"
Y,Equifax Bureaus,"The lender may require a ""consent to release information"" form signed by all parties involved in the transaction. This form is necessary for the transfer of client information and must be included in the application process."
Y,Transunion Bureaus,The text explicitly mentions 'DocuSign electronic signature' and 'e-signature platform' which are clear indicators of a digital signing policy.
Y,QUALIFYING & FEES,The document explicitly mentions 'DocuSign' as an acceptable method for electronic signatures. It states that digital signatures are accepted through DocuSign.
Y,Insurable/Insured Deals Only,The borrower must complete a consent to release information form.
Y,Insurers (Canada Guarantee),"The maximum number of properties a client can finance is explicitly stated as 'maximum number of properties' (see line 45 and line 48 in the document). The exact policy is 'maximum number of properties' which is mentioned with specific instances like 'multiple properties limit', 'number of units allowed', 'property units limit', and 'total properties financed'."
Y,Insurers (CMHC),The document explicitly mentions Tarion warranty required for new homes.
Y,Insurers (Sagen),"Maximum number of properties, multiple properties limit, total properties financed, number of mortgages allowed, maximum rental properties"
Y,Lending Fee,The document explicitly mentions 'Tarion warranty required' as a condition for new homes. Tarion is referenced in the context of new home construction warranties.
Y,Maintenance Fee,The maximum number of properties that can be financed is 4. This is clearly stated in the lending guidelines.
Y,Qualify at Contract Rate,The document explicitly states 'Tarion warranty required' and refers to Tarion new build warranty requirements.
Y,Qualifying Rate for Conventional Deals,"The maximum number of properties that can be financed under one mortgage account is four (4) units. This includes single-family homes, townhouses, and condominiums."
Y,Renewal Fees and Details,"The document explicitly mentions 'foreclosure' in multiple places, such as 'past foreclosure on property', 'power of sale listing', and 'distressed sale listing'. It also refers to 'foreclosed property history' and 'property with foreclosure record'. Therefore, the policies related to foreclosure are clearly mentioned."
Y,DOWN PAYMENT ,Pre-authorized debit agreement (PAD form)
Y,Gifted Down Payment Aunt/Uncle,The lender will perform a credit check as part of the application process.
Y,Gifted From Immediately Family Member,"electronic signature, e-signature platform, DocuSign electronic signature, digital document signing, use DocuSign, DocuSign agreement"
Y,Gifted From Immediately Family Member (Rental),Tarion warranty required
Y,Gifted Money From Non-Family,No additional information provided beyond the keywords and related concepts.
Y,Government Grants,"There must not be any prior foreclosures on the property. If there has been a foreclosure or power of sale proceeding, the property will not be approved."
Y,How Much of the Down Payment Can Be Gifted? (100% or % From Own Funds),"The document explicitly states that 'a laneway house, coach house, carriage house, secondary suite (detached), laneway suite, backyard suite' are allowed as 'multiple properties limit'."
